citing_cluster_id,citing_url,citing_court_name,cited_cluster_id,cited_url,cited_court_name,cited_case_name_short,cited_case_name,cited_citations,expert,expert_label,expert_notes
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1302718,https://www.courtlistener.com/opinion/1302718/proffitt-v-bartolo/,Michigan Court of Appeals,Proffitt,Proffitt v. Bartolo,"['162 Mich. App. 35', '412 N.W.2d 232']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1655998,https://www.courtlistener.com/opinion/1655998/hadley-v-trio-tool-co/,Michigan Court of Appeals,Hadley,Hadley v. Trio Tool Co.,"['143 Mich. App. 319', '372 N.W.2d 537']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1696546,https://www.courtlistener.com/opinion/1696546/rieck-v-medical-protective-co/,Wisconsin Supreme Court,Rieck,Rieck v. Medical Protective Co.,"['1974 Wisc. LEXIS 1368', '64 Wis. 2d 514', '219 N.W.2d 242']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1720144,https://www.courtlistener.com/opinion/1720144/green-v-sudakin/,Michigan Court of Appeals,Green,Green v. Sudakin,"['1978 Mich. App. LEXIS 2162', '81 Mich. App. 545', '265 N.W.2d 411']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1852874,https://www.courtlistener.com/opinion/1852874/hinkelman-v-borgess-medical-center/,Michigan Court of Appeals,Hinkelman,Hinkelman v. Borgess Medical Center,"['157 Mich. App. 314', '403 N.W.2d 547']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1854010,https://www.courtlistener.com/opinion/1854010/eisbrenner-v-stanley/,Michigan Court of Appeals,Eisbrenner,Eisbrenner v. Stanley,"['106 Mich. App. 357', '308 N.W.2d 209']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1894469,https://www.courtlistener.com/opinion/1894469/beadle-v-allis/,Michigan Court of Appeals,Beadle,Beadle v. Allis,"['165 Mich. App. 516', '418 N.W.2d 906']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1966176,https://www.courtlistener.com/opinion/1966176/ritchie-v-michigan-consolidated-gas-co/,Michigan Court of Appeals,Ritchie,Ritchie v. Michigan Consolidated Gas Co.,"['1987 Mich. App. LEXIS 2724', '3 I.E.R. Cas. (BNA) 242', '163 Mich. App. 358', '413 N.W.2d 796']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2055749,https://www.courtlistener.com/opinion/2055749/clapham-v-yanga/,Michigan Court of Appeals,Clapham,Clapham v. Yanga,"['1980 Mich. App. LEXIS 3100', '102 Mich. App. 47', '300 N.W.2d 727']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2079084,https://www.courtlistener.com/opinion/2079084/ochs-v-borrelli/,Supreme Court of Connecticut,Ochs,Ochs v. Borrelli,"['1982 Conn. LEXIS 521', '445 A.2d 883', '187 Conn. 253']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2121827,https://www.courtlistener.com/opinion/2121827/rohm-v-stroud/,Michigan Supreme Court,Rohm,Rohm v. Stroud,"['1972 Mich. LEXIS 214', '386 Mich. 693', '194 N.W.2d 307']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2126504,https://www.courtlistener.com/opinion/2126504/wilczynski-v-goodman/,Appellate Court of Illinois,Wilczynski,Wilczynski v. Goodman,"['1979 Ill. App. LEXIS 2738', '29 Ill. Dec. 216', '73 Ill. App. 3d 51', '391 N.E.2d 479']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2138970,https://www.courtlistener.com/opinion/2138970/shepard-v-redford-community-hospital/,Michigan Court of Appeals,Shepard,Shepard v. Redford Community Hospital,"['151 Mich. App. 242', '390 N.W.2d 239']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2183335,https://www.courtlistener.com/opinion/2183335/stephens-v-spiwak/,Michigan Court of Appeals,Stephens,Stephens v. Spiwak,"['1975 Mich. App. LEXIS 1580', '61 Mich. App. 647', '233 N.W.2d 124']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2185063,https://www.courtlistener.com/opinion/2185063/troppi-v-scarf/,Michigan Court of Appeals,Troppi,Troppi v. Scarf,"['1971 Mich. App. LEXIS 2077', '31 Mich. App. 240', '187 N.W.2d 511']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2379505,https://www.courtlistener.com/opinion/2379505/jones-v-malinowski/,Court of Appeals of Maryland,Jones,Jones v. Malinowski,"['1984 Md. LEXIS 259', '299 Md. 257', '473 A.2d 429']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,5934790,https://www.courtlistener.com/opinion/5934790/ziemba-v-sternberg/,Appellate Division of the Supreme Court of the State of New York,Ziemba,Ziemba v. Sternberg,"['1974 N.Y. App. Div. LEXIS 4463', '357 N.Y.S.2d 265', '45 A.D.2d 230']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,8090040,https://www.courtlistener.com/opinion/8090040/smith-v-cote/,Supreme Court of New Hampshire,Cote,Smith v. Cote,"['1986 N.H. LEXIS 287', '513 A.2d 341', '55 U.S.L.W. 2071', '128 N.H. 231']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2002255,https://www.courtlistener.com/opinion/2002255/davis-v-lhim/,Michigan Court of Appeals,Davis,Davis v. Lhim,"['124 Mich. App. 291', '335 N.W.2d 481']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1145311,https://www.courtlistener.com/opinion/1145311/university-of-arizona-health-sciences-center-v-superior-court/,Arizona Supreme Court,,University of Arizona Health Sciences Center v. Superior Court,"['1983 Ariz. LEXIS 218', '136 Ariz. 579', '667 P.2d 1294']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1384809,https://www.courtlistener.com/opinion/1384809/morris-v-sanchez/,Supreme Court of Oklahoma,Morris,Morris v. Sanchez,"['1987 WL 4347', '746 P.2d 184']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1619071,https://www.courtlistener.com/opinion/1619071/siirila-v-barrios/,Michigan Supreme Court,Siirila,Siirila v. Barrios,"['1976 Mich. LEXIS 203', '398 Mich. 576', '248 N.W.2d 171']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,Rinard,Rinard v. Biczak,"['177 Mich. App. 287', '441 N.W.2d 441']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1708803,https://www.courtlistener.com/opinion/1708803/duvall-v-goldin/,Michigan Court of Appeals,Duvall,Duvall v. Goldin,"['139 Mich. App. 342', '362 N.W.2d 275']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1801425,https://www.courtlistener.com/opinion/1801425/bushman-v-burns-clinic-medical-center-p-c/,Michigan Court of Appeals,Bushman,"Bushman v. Burns Clinic Medical Center, P. C.","['1978 Mich. App. LEXIS 2330', '83 Mich. App. 453', '268 N.W.2d 683']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,1976104,https://www.courtlistener.com/opinion/1976104/welke-v-kuzilla/,Michigan Court of Appeals,Welke,Welke v. Kuzilla,"['144 Mich. App. 245', '375 N.W.2d 403']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2130993,https://www.courtlistener.com/opinion/2130993/sherlock-v-stillwater-clinic/,Supreme Court of Minnesota,Sherlock,Sherlock v. Stillwater Clinic,"['1977 Minn. LEXIS 1319', '260 N.W.2d 169']",,,
1669651,https://www.courtlistener.com/opinion/1669651/rinard-v-biczak/,Michigan Court of Appeals,2190432,https://www.courtlistener.com/opinion/2190432/cockrum-v-baumgartner/,Illinois Supreme Court,Cockrum,Cockrum v. Baumgartner,"['1983 Ill. LEXIS 315', '69 Ill. Dec. 168', '95 Ill. 2d 193', '447 N.E.2d 385']",,,
