child,parent,jurisdiction
"United States Bankruptcy Court, W.D. Louisiana","District Court, W.D. Louisiana",
"District Court, D. Maine",Court of Appeals for the First Circuit,
"United States Bankruptcy Court, D. Maine","District Court, D. Maine",
"District Court, D. Maryland",Court of Appeals for the Fourth Circuit,
"United States Bankruptcy Court, D. Maryland","District Court, D. Maryland",
"District Court, D. Massachusetts",Court of Appeals for the First Circuit,
"United States Bankruptcy Court, D. Massachusetts","District Court, D. Massachusetts",
"District Court, E.D. Michigan",Court of Appeals for the Sixth Circuit,
"District Court, W.D. Michigan",Court of Appeals for the Sixth Circuit,
"United States Bankruptcy Court, E.D. Michigan","District Court, E.D. Michigan",
"United States Bankruptcy Court, W.D. Michigan","District Court, W.D. Michigan",
"District Court, D. Minnesota",Court of Appeals for the Eighth Circuit,
"United States Bankruptcy Court, D. Minnesota","District Court, D. Minnesota",
"District Court, N.D. Mississippi",Court of Appeals for the Fifth Circuit,
"District Court, S.D. Mississippi",Court of Appeals for the Fifth Circuit,
"United States Bankruptcy Court, N.D. Mississippi","District Court, N.D. Mississippi",
"United States Bankruptcy Court, S.D. Mississippi","District Court, S.D. Mississippi",
"District Court, E.D. Missouri",Court of Appeals for the Eighth Circuit,
"District Court, W.D. Missouri",Court of Appeals for the Eighth Circuit,
"United States Bankruptcy Court, E.D. Missouri","District Court, E.D. Missouri",
"United States Bankruptcy Court, W.D. Missouri","District Court, W.D. Missouri",
"District Court, D. Montana",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Montana","District Court, D. Montana",
"District Court, D. Nebraska",Court of Appeals for the Eighth Circuit,
"United States Bankruptcy Court, D. Nebraska","District Court, D. Nebraska",
"District Court, D. Nevada",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Nevada","District Court, D. Nevada",
"District Court, D. New Hampshire",Court of Appeals for the First Circuit,
"United States Bankruptcy Court, D. New Hampshire","District Court, D. New Hampshire",
"District Court, D. New Jersey",Court of Appeals for the Third Circuit,
"United States Bankruptcy Court, D. New Jersey","District Court, D. New Jersey",
"District Court, D. New Mexico",Court of Appeals for the Tenth Circuit,
"United States Bankruptcy Court, D. New Mexico","District Court, D. New Mexico",
"District Court, E.D. New York",Court of Appeals for the Second Circuit,
"District Court, N.D. New York",Court of Appeals for the Second Circuit,
"District Court, S.D. New York",Court of Appeals for the Second Circuit,
"District Court, W.D. New York",Court of Appeals for the Second Circuit,
"United States Bankruptcy Court, E.D. New York","District Court, E.D. New York",
"United States Bankruptcy Court, N.D. New York","District Court, N.D. New York",
"United States Bankruptcy Court, S.D. New York","District Court, S.D. New York",
"United States Bankruptcy Court, W.D. New York","District Court, W.D. New York",
"District Court, E.D. North Carolina",Court of Appeals for the Fourth Circuit,
"District Court, M.D. North Carolina",Court of Appeals for the Fourth Circuit,
"District Court, W.D. North Carolina",Court of Appeals for the Fourth Circuit,
