id,parent_court_id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,jurisdiction_name,jurisdiction_type,jurisdiction_state,parent_court_full_name,parent_court_id,note
pawb,,156,1,all,,15,2020-07-28T06:11:09.597Z,TRUE,FALSE,FALSE,194,Bankr. W.D. Pa.,W.D. Pennsylvania,"United States Bankruptcy Court, W.D. Pennsylvania",http://www.pawb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Pennsylvania,"District Court, W.D. Pennsylvania",pawd,
nhb,,116,1,"answer,appeal,court,motion,order,auditor,caseupld,claims,cmp,crbatch,crmisc,misc,notice,plan,trustee",,2,2020-07-28T06:14:09.375Z,TRUE,FALSE,FALSE,189.7,Bankr. D.N.H.,D. New Hampshire,"United States Bankruptcy Court, D. New Hampshire",http://www.nhb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,New Hampshire,Bankruptcy Appellate Panel of the First Circuit,bap1,
rib,,160,1,all,,3,2020-07-28T06:14:09.678Z,TRUE,FALSE,FALSE,194.2,Bankr. D.R.I.,D. Rhode Island,"United States Bankruptcy Court, D. Rhode Island",http://www.rib.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Rhode Island,"District Court, D. Rhode Island",rid,
scb,,162,1,all,,20,2020-07-28T06:13:10.237Z,TRUE,FALSE,FALSE,194.8,Bankr. D.S.C.,D. South Carolina,"United States Bankruptcy Court, D. South Carolina",http://www.scb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,South Carolina,"District Court, D. South Carolina",scd,
sdb,,164,1,all,,69,2020-07-28T06:15:10.580Z,TRUE,FALSE,FALSE,194.85,Bankr. D.S.D.,D. South Dakota,"United States Bankruptcy Court, D. South Dakota",https://ecf.sdb.uscourts.gov/,,,FB,lawbox,Federal Bankruptcy,Federal,South Dakota,"District Court, D. South Dakota",sdd,
sdb,,164,1,all,,69,2020-07-28T06:15:10.580Z,TRUE,FALSE,FALSE,194.85,Bankr. D.S.D.,D. South Dakota,"United States Bankruptcy Court, D. South Dakota",https://ecf.sdb.uscourts.gov/,,,FB,lawbox,Federal Bankruptcy,Federal,South Dakota,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
tneb,,166,1,all,,49,2020-07-28T06:10:08.100Z,TRUE,FALSE,FALSE,195,Bankr. E.D. Tenn.,E.D. Tennessee,"United States Bankruptcy Court, E.D. Tennessee",http://www.tneb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Tennessee,"District Court, E.D. Tennessee",tned,
tneb,,166,1,all,,49,2020-07-28T06:10:08.100Z,TRUE,FALSE,FALSE,195,Bankr. E.D. Tenn.,E.D. Tennessee,"United States Bankruptcy Court, E.D. Tennessee",http://www.tneb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Tennessee,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
tnmb,,168,1,all,,50,2020-07-28T06:17:16.955Z,TRUE,FALSE,FALSE,195.1,Bankr. M.D. Tenn.,M.D. Tennessee,"United States Bankruptcy Court, M.D. Tennessee",http://www.tnmb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Tennessee,"District Court, M.D. Tennessee",tnmd,
tnmb,,168,1,all,,50,2020-07-28T06:17:16.955Z,TRUE,FALSE,FALSE,195.1,Bankr. M.D. Tenn.,M.D. Tennessee,"United States Bankruptcy Court, M.D. Tennessee",http://www.tnmb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Tennessee,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
tnwb,,170,1,all,,51,2020-07-28T06:11:09.943Z,TRUE,FALSE,FALSE,195.2,Bankr. W.D. Tenn.,W.D. Tennessee,"United States Bankruptcy Court, W.D. Tennessee",http://www.tnwb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Tennessee,"District Court, W.D. Tennessee",tnwd,
tnwb,,170,1,all,,51,2020-07-28T06:11:09.943Z,TRUE,FALSE,FALSE,195.2,Bankr. W.D. Tenn.,W.D. Tennessee,"United States Bankruptcy Court, W.D. Tennessee",http://www.tnwb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Tennessee,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
tennesseeb,,,,,,,2017-03-07T21:33:02.155Z,TRUE,FALSE,FALSE,195.3,Bankr. D. Tenn.,D. Tennessee,"United States Bankruptcy Court, D. Tennessee",http://www.fjc.gov/history/home.nsf/page/courts_district_tn_mp.html,1797-01-01,1801-01-01,FB,Lawbox,Federal Bankruptcy,,,,,Duplicate with specific districts for Tennessee
txeb,,174,1,"answer,appeal,auditor,caseupld,claims,cmp,court,misc,motion,notice,order,plan,trustee",,40,2020-07-28T06:15:11.955Z,TRUE,FALSE,FALSE,196,Bankr. E.D. Tex.,E.D. Texas,"United States Bankruptcy Court, E.D. Texas",http://www.txeb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Texas,"District Court, E.D. Texas",txed,
txnb,,176,1,all,,39,2020-07-28T06:15:16.789Z,TRUE,FALSE,FALSE,196.2,Bankr. N.D. Tex.,N.D. Texas,"United States Bankruptcy Court, N.D. Texas",http://www.txnb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Texas,"District Court, N.D. Texas",txnd,
txsb,,178,1,all,,41,2020-07-28T06:15:16.904Z,TRUE,FALSE,FALSE,196.25,Bankr. S.D. Tex.,S.D. Texas,"United States Bankruptcy Court, S.D. Texas",http://www.txs.uscourts.gov/bankruptcy/,,,FB,Lawbox,Federal Bankruptcy,Federal,Texas,"District Court, S.D. Texas",txsd,
txwb,,180,1,all,,42,2020-07-28T06:14:11.316Z,TRUE,FALSE,FALSE,196.3,Bankr. W.D. Tex.,W.D. Texas,"United States Bankruptcy Court, W.D. Texas",http://www.txwb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Texas,"District Court, W.D. Texas",txwd,
utb,,182,1,all,,88,2020-07-28T06:11:11.193Z,TRUE,FALSE,FALSE,196.34,Bankr. D. Utah,D. Utah,"United States Bankruptcy Court, D. Utah",http://www.utb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Utah,"District Court, D. Utah",utd,
utb,,182,1,all,,88,2020-07-28T06:11:11.193Z,TRUE,FALSE,FALSE,196.34,Bankr. D. Utah,D. Utah,"United States Bankruptcy Court, D. Utah",http://www.utb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Utah,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
vtb,,184,1,all,,10,2020-07-28T06:13:08.099Z,TRUE,FALSE,FALSE,196.35,Bankr. D. Vt.,D. Vermont,"United States Bankruptcy Court, D. Vermont",http://www.vtb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Vermont,"District Court, D. Vermont",vtd,
vaeb,,188,1,all,,22,2020-07-28T06:14:16.969Z,TRUE,FALSE,FALSE,196.4,Bankr. E.D. Va.,E.D. Virginia,"United States Bankruptcy Court, E.D. Virginia",https://www.vaeb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Virginia,"District Court, E.D. Virginia",vaed,
vawb,,190,1,"answer,appeal,court,motion,order",,23,2020-07-28T06:14:09.761Z,TRUE,FALSE,FALSE,197,Bankr. W.D. Va.,W.D. Virginia,"United States Bankruptcy Court, W.D. Virginia",http://www.vawb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Virginia,"District Court, W.D. Virginia",vawd,
waeb,,194,1,all,,80,2020-07-28T06:09:04.043Z,TRUE,FALSE,FALSE,197.5,Bankr. E.D. Wash.,E.D. Washington,"United States Bankruptcy Court, E.D. Washington",http://www.waeb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Washington,"District Court, E.D. Washington",waed,
waeb,,194,1,all,,80,2020-07-28T06:09:04.043Z,TRUE,FALSE,FALSE,197.5,Bankr. E.D. Wash.,E.D. Washington,"United States Bankruptcy Court, E.D. Washington",http://www.waeb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Washington,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
wawb,,196,1,all,,81,2020-07-28T06:15:12.693Z,TRUE,FALSE,FALSE,198,Bankr. W.D. Wash.,W.D. Washington,"United States Bankruptcy Court, W.D. Washington",http://www.wawb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Washington,"District Court, W.D. Washington",wawd,
wawb,,196,1,all,,81,2020-07-28T06:15:12.693Z,TRUE,FALSE,FALSE,198,Bankr. W.D. Wash.,W.D. Washington,"United States Bankruptcy Court, W.D. Washington",http://www.wawb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Washington,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
wvnb,,198,1,all,,24,2020-07-28T06:14:09.357Z,TRUE,FALSE,FALSE,198.8,Bankr. N.D.W. Va.,N.D. West Virginia,"United States Bankruptcy Court, N.D. West Virginia",http://www.wvnd.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,West Virginia,"District Court, N.D. West Virginia",wvnd,
wvsb,,200,1,all,,25,2020-07-28T06:09:04.059Z,TRUE,FALSE,FALSE,198.9,Bankr. S.D.W. Va.,S.D. West Virginia,"United States Bankruptcy Court, S.D. West Virginia",http://www.wvsb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,West Virginia,"District Court, S.D. West Virginia",wvsd,
wieb,,202,1,"answer,appeal,court,misc,motion,order,trustee",,57,2020-07-28T06:15:14.675Z,TRUE,FALSE,FALSE,199,Bankr. E.D. Wis.,E.D. Wisconsin,"United States Bankruptcy Court, E.D. Wisconsin",http://www.wieb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Wisconsin,"District Court, E.D. Wisconsin",wied,
wiwb,,204,1,all,,58,2020-07-28T06:11:06.695Z,TRUE,FALSE,FALSE,199.1,Bankr. W.D. Wis.,W.D. Wisconsin,"United States Bankruptcy Court, W.D. Wisconsin",http://www.wiwb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Wisconsin,"District Court, W.D. Wisconsin",wiwd,
wyb,,206,1,all,,89,2020-07-28T06:15:10.498Z,TRUE,FALSE,FALSE,199.5,Bankr. D. Wyo.,D. Wyoming,"United States Bankruptcy Court, D. Wyoming",http://www.wyb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Wyoming,"District Court, D. Wyoming",wyd,
wyb,,206,1,all,,89,2020-07-28T06:15:10.498Z,TRUE,FALSE,FALSE,199.5,Bankr. D. Wyo.,D. Wyoming,"United States Bankruptcy Court, D. Wyoming",http://www.wyb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Wyoming,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
gub,,58,1,all,,93,2020-07-28T06:15:10.328Z,TRUE,FALSE,FALSE,199.6,Bankr. D. Guam,D. Guam,"United States Bankruptcy Court, D. Guam",https://en.wikipedia.org/wiki/District_Court_of_Guam,,,FB,Lawbox,Federal Bankruptcy,Federal,Guam,"District Court, D. Guam",gud,
gub,,58,1,all,,93,2020-07-28T06:15:10.328Z,TRUE,FALSE,FALSE,199.6,Bankr. D. Guam,D. Guam,"United States Bankruptcy Court, D. Guam",https://en.wikipedia.org/wiki/District_Court_of_Guam,,,FB,Lawbox,Federal Bankruptcy,Federal,Guam,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
nmib,,138,1,"answer,appeal,court,motion,order",,94,2020-07-28T06:15:10.294Z,TRUE,FALSE,FALSE,199.65,Bankr. N. Mar. I.,Northern Mariana Islands,"United States Bankruptcy Court, Northern Mariana Islands",http://www.nmid.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Northern Mariana Islands,"District Court, Northern Mariana Islands",nmid,
nmib,,138,1,"answer,appeal,court,motion,order",,94,2020-07-28T06:15:10.294Z,TRUE,FALSE,FALSE,199.65,Bankr. N. Mar. I.,Northern Mariana Islands,"United States Bankruptcy Court, Northern Mariana Islands",http://www.nmid.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Northern Mariana Islands,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
rib,,160,1,all,,3,2020-07-28T06:14:09.678Z,TRUE,FALSE,FALSE,194.2,Bankr. D.R.I.,D. Rhode Island,"United States Bankruptcy Court, D. Rhode Island",http://www.rib.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Rhode Island,Bankruptcy Appellate Panel of the First Circuit,bap1,
prb,,158,1,all,,4,2020-07-28T06:15:15.606Z,TRUE,FALSE,FALSE,199.7,Bankr. D.P.R.,D. Puerto Rico,"United States Bankruptcy Court, D. Puerto Rico",http://www.prb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Puerto Rico,"District Court, D. Puerto Rico",prd,
prb,,158,1,all,,4,2020-07-28T06:15:15.606Z,TRUE,FALSE,FALSE,199.7,Bankr. D.P.R.,D. Puerto Rico,"United States Bankruptcy Court, D. Puerto Rico",http://www.prb.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Puerto Rico,Bankruptcy Appellate Panel of the First Circuit,bap1,
vib,,192,1,"answer,appeal,motion,order",,91,2020-07-28T06:15:10.561Z,TRUE,FALSE,FALSE,199.8,Bankr. D.V.I.,D. Virgin Islands,"United States Bankruptcy Court, D. Virgin Islands",http://www.vid.uscourts.gov/,,,FB,Lawbox,Federal Bankruptcy,Federal,Virgin Islands,"District Court, Virgin Islands",vid,
usdistct,,,,,,,2025-04-03T21:18:35.037Z,FALSE,FALSE,FALSE,200,,U.S. District Court,United States District Court,,1789-01-01,,FD,,Federal District,,,,,Not in use
dcd,usdistct,45,1,all,,90,2023-10-03T01:23:43.567Z,TRUE,TRUE,FALSE,200.5,D.D.C.,District of Columbia,"District Court, District of Columbia",http://www.dcd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,District of Columbia,Court of Appeals for the D.C. Circuit,cadc,
ald,usdistct,,,,,,2023-10-03T01:23:43.583Z,FALSE,FALSE,FALSE,200.9,D. Ala.,D. Alabama,"District Court, D. Alabama",,1820-04-21,1824-03-10,FD,https://en.wikipedia.org/wiki/List_of_former_United_States_district_courts#Alabama,Federal District,,,,,Not in use
almd,usdistct,17,1,all,,27,2023-10-03T01:23:43.599Z,TRUE,FALSE,FALSE,201,M.D. Ala.,M.D. Alabama,"District Court, M.D. Alabama",http://www.almd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Alabama,Court of Appeals for the Eleventh Circuit,ca11,
alnd,usdistct,19,0,,,26,2023-10-03T01:23:43.615Z,TRUE,FALSE,FALSE,201.5,N.D. Ala.,N.D. Alabama,"District Court, N.D. Alabama",http://www.alnd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Alabama,Court of Appeals for the Eleventh Circuit,ca11,
alsd,usdistct,21,1,all,,28,2023-10-03T01:23:43.635Z,TRUE,FALSE,FALSE,202,S.D. Ala.,S.D. Alabama,"District Court, S.D. Alabama",http://www.als.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Alabama,Court of Appeals for the Eleventh Circuit,ca11,
akd,usdistct,23,1,all,,7-,2023-10-03T01:23:43.655Z,TRUE,FALSE,FALSE,202.5,D. Alaska,D. Alaska,"District Court, D. Alaska",http://www.akd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Alaska,Court of Appeals for the Ninth Circuit,ca9,
azd,usdistct,25,1,all,,70,2023-10-03T01:23:43.664Z,TRUE,FALSE,FALSE,203,D. Ariz.,D. Arizona,"District Court, D. Arizona",http://www.azd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Arizona,Court of Appeals for the Ninth Circuit,ca9,
ared,usdistct,27,1,all,,60,2023-10-03T01:23:43.679Z,TRUE,FALSE,FALSE,204,E.D. Ark.,E.D. Arkansas,"District Court, E.D. Arkansas",http://www.are.uscourts.gov/,,,FD,"Lawbox

Has special RSS feed URLs.",Federal District,Federal,Arkansas,Court of Appeals for the Eighth Circuit,ca8,
arwd,usdistct,29,1,all,,61,2023-10-03T01:23:43.695Z,TRUE,FALSE,FALSE,204.2,W.D. Ark.,W.D. Arkansas,"District Court, W.D. Arkansas",http://www.arwd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Arkansas,Court of Appeals for the Eighth Circuit,ca8,
ard,usdistct,,,,,,2023-10-03T01:23:43.703Z,FALSE,FALSE,FALSE,204.3,,United States District Court for the District of Arkansas,United States District Court for the District of Arkansas,,1836-06-15,1851-03-03,FD,Created as part of import of Case.Law data.,Federal District,,,,,Not in use
californiad,usdistct,,,,,,2023-10-03T01:23:43.709Z,TRUE,FALSE,FALSE,205,D. Cal.,D. California,"District Court, D. California",http://www.uscourts.gov/,1866-07-27,1886-08-05,FD,Lawbox,Federal District,,,,,Duplicate with specific District Courts of California
cacd,usdistct,31,1,all,,73,2023-10-03T01:23:43.723Z,TRUE,FALSE,FALSE,205.05,C.D. Cal.,C.D. California,"District Court, C.D. California",http://www.cacd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
caed,usdistct,33,1,"adr,answer,appeal,cmp,discov,minutes,mot2255,motion,notice,order,respm,respoth,service,transfer,trial",,72,2023-10-03T01:23:43.737Z,TRUE,FALSE,FALSE,205.06,E.D. Cal.,E.D. California,"District Court, E.D. California",http://www.caed.uscourts.gov/,,,FD,,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
cand,usdistct,35,1,all,,71,2023-10-03T01:23:43.748Z,TRUE,FALSE,FALSE,205.1,N.D. Cal.,N.D. California,"District Court, N.D. California",http://www.cand.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
casd,usdistct,37,1,all,,74,2023-10-03T01:23:43.763Z,TRUE,FALSE,FALSE,205.2,S.D. Cal.,S.D. California,"District Court, S.D. California",http://www.casd.uscourts.gov/,,,FD,,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
caca,uscirct,,,,,,2023-10-03T01:23:43.775Z,FALSE,FALSE,FALSE,205.3,C. Cal.,California Circuit,Circuit Court for California,http://www.fjc.gov/history/home.nsf/page/landmark_07.html,1804-10-01,1812-04-30,F,,Federal Appellate,,,,,Not in use
cod,usdistct,39,1,"motion,order",,82,2023-10-03T01:23:43.791Z,TRUE,FALSE,FALSE,206,D. Colo.,D. Colorado,"District Court, D. Colorado",http://www.cod.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Colorado,Court of Appeals for the Tenth Circuit,ca10,
ctd,usdistct,41,1,all,,5,2023-10-03T01:23:43.811Z,TRUE,FALSE,FALSE,207,D. Conn.,D. Connecticut,"District Court, D. Connecticut",http://www.ctd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Connecticut,Court of Appeals for the Second Circuit,ca2,
ded,usdistct,43,1,all,,11,2023-10-03T01:23:43.835Z,TRUE,FALSE,FALSE,208,D. Del.,D. Delaware,"District Court, D. Delaware",http://www.ded.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Delaware,Court of Appeals for the Third Circuit,ca3,
fld,usdistct,,,,,,2023-10-03T01:23:43.864Z,FALSE,FALSE,FALSE,208.49,D. Fla.,D. Florida,"District Court, D. Florida",,1845-03-03,1847-02-23,FD,https://en.wikipedia.org/wiki/List_of_former_United_States_district_courts#Florida,Federal District,,,,,Not in use
flmd,usdistct,47,1,all,,3A,2023-10-03T01:23:43.882Z,TRUE,FALSE,FALSE,208.5,M.D. Fla.,M.D. Florida,"District Court, M.D. Florida",http://www.flmd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Florida,Court of Appeals for the Eleventh Circuit,ca11,
flnd,usdistct,49,0,,,29,2023-10-03T01:23:43.891Z,TRUE,FALSE,FALSE,208.51,N.D. Fla.,N.D. Florida,"District Court, N.D. Florida",http://www.flnd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Florida,Court of Appeals for the Eleventh Circuit,ca11,
flsd,usdistct,51,1,all,,3C,2023-10-03T01:23:43.904Z,TRUE,FALSE,FALSE,208.52,S.D. Fla.,S.D. Florida,"District Court, S.D. Florida",http://www.flsd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Florida,Court of Appeals for the Eleventh Circuit,ca11,
circtndfl,uscirct,,,,,,2023-10-03T01:23:43.915Z,FALSE,FALSE,FALSE,208.531,C.C.N.D. Fla.,United States Circuit Court for the Northern District of Florida,United States Circuit Court for the Northern District of Florida,,,,F,Created as part of import of Case.Law data.,Federal Appellate,,,,,Not in use
circtsdfl,uscirct,,,,,,2023-10-03T01:23:43.928Z,FALSE,FALSE,FALSE,208.532,C.C.S.D. Fla.,United States Circuit Court for the Southern District of Florida,United States Circuit Court for the Southern District of Florida,,,,F,Created as part of import of Case.Law data.,Federal Appellate,,,,,Not in use
superctsdfla,usdistct,,,,,,2023-10-03T01:23:43.939Z,FALSE,FALSE,FALSE,208.54,Super. Ct. S.D. Fla.,"Superior Court, S. D. Florida","Superior Court, S. D. Florida",,1828-01-01,1845-12-31,FD,This was a pre-statehood federal court.,Federal District,,,,,Not in use
gad,usdistct,,,,,,2023-10-03T01:23:43.955Z,FALSE,FALSE,FALSE,208.59,D. Ga.,D. Georgia,"District Court, D. Georgia",,1789-09-24,1848-08-11,FD,,Federal District,,,,,Not in use
gamd,usdistct,53,1,"order,order-cr",,3G,2023-10-03T01:23:43.971Z,TRUE,FALSE,FALSE,208.6,M.D. Ga.,M.D. Georgia,"District Court, M.D. Georgia",http://www.gamd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Georgia,Court of Appeals for the Eleventh Circuit,ca11,
gand,usdistct,55,0,,,3E,2023-10-03T01:23:43.982Z,TRUE,FALSE,FALSE,208.61,N.D. Ga.,N.D. Georgia,"District Court, N.D. Georgia",http://www.gand.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Georgia,Court of Appeals for the Eleventh Circuit,ca11,
gasd,usdistct,57,0,,,3J,2023-10-03T01:23:43.999Z,TRUE,FALSE,FALSE,208.62,S.D. Ga.,S.D. Georgia,"District Court, S.D. Georgia",http://www.gasd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Georgia,Court of Appeals for the Eleventh Circuit,ca11,
hid,usdistct,61,1,"cmp,order,order-cr",,75,2023-10-03T01:23:44.014Z,TRUE,FALSE,FALSE,208.9,D. Haw.,D. Hawaii,"District Court, D. Hawaii",http://www.hid.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Hawaii,Court of Appeals for the Ninth Circuit,ca9,
idd,usdistct,63,1,"allx,motion",,76,2023-10-03T01:23:44.031Z,TRUE,FALSE,FALSE,209,D. Idaho,D. Idaho,"District Court, D. Idaho",http://www.id.uscourts.gov/,,,FD,lawbox,Federal District,Federal,Idaho,Court of Appeals for the Ninth Circuit,ca9,
ilcd,usdistct,65,1,all,,53,2023-10-03T01:23:44.047Z,TRUE,FALSE,FALSE,209.5,C.D. Ill.,C.D. Illinois,"District Court, C.D. Illinois",http://www.ilcd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Illinois,Court of Appeals for the Seventh Circuit,ca7,
ilnd,usdistct,67,1,"order,order-cr,motion,cmp",,52,2023-10-03T01:23:44.060Z,TRUE,FALSE,FALSE,210,N.D. Ill.,N.D. Illinois,"District Court, N.D. Illinois",http://www.ilnd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Illinois,Court of Appeals for the Seventh Circuit,ca7,
ilsd,usdistct,69,1,"motion,order,order-cr,cmp,charge-cr",,54,2023-10-03T01:23:44.079Z,TRUE,FALSE,FALSE,210.1,S.D. Ill.,S.D. Illinois,"District Court, S.D. Illinois",http://www.ilsd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Illinois,Court of Appeals for the Seventh Circuit,ca7,
illinoised,usdistct,,,,,,2023-10-03T01:23:44.093Z,TRUE,FALSE,FALSE,210.5,E.D. Ill.,E.D. Illinois,"District Court, E.D. Illinois",https://en.wikipedia.org/wiki/United_States_District_Court_for_the_Eastern_District_of_Illinois,1905-03-03,1978-10-02,FD,Lawbox,Federal District,,,,,Duplicate with specific District Courts of Illinois
illinoisd,usdistct,,,,,,2023-10-03T01:23:44.103Z,TRUE,FALSE,FALSE,210.6,D. Ill.,D. Illinois,"District Court, D. Illinois",http://www.uscourts.gov/,1819-03-03,1855-02-13,FD,Lawbox,Federal District,,,,,Duplicate with specific District Courts of Illinois
innd,usdistct,71,1,all,,55,2023-10-03T01:23:44.117Z,TRUE,FALSE,FALSE,211,N.D. Ind.,N.D. Indiana,"District Court, N.D. Indiana",http://www.innd.uscourts.gov/,1928-04-21,,FD,"Lawbox

Start date from: https://twitter.com/FedJudicialHist/status/855474313113333761/photo/1",Federal District,Federal,Indiana,Court of Appeals for the Seventh Circuit,ca7,
insd,usdistct,73,1,"adr,answer,appeal,appeal-cr,charge-cr,cmp,cvbevent-cr,detention-cr,discov,discovery-cr,minutes,minutes-cr,misc,misc-cr,misccs,mot2255,motion,notice,notice-cr,order,order-cr,plea-cr,respm,respm-cr,respoth,service,transfer,trial,trial-cr,waiver-cr",,56,2023-10-03T01:23:44.133Z,TRUE,FALSE,FALSE,212,S.D. Ind.,S.D. Indiana,"District Court, S.D. Indiana",http://www.insd.uscourts.gov/,1928-04-21,,FD,"Lawbox

Start date from: https://twitter.com/FedJudicialHist/status/855474313113333761/photo/1",Federal District,Federal,Indiana,Court of Appeals for the Seventh Circuit,ca7,
indianad,usdistct,,,,,,2023-10-03T01:23:44.143Z,TRUE,FALSE,FALSE,214,D. Ind.,D. Indiana,"District Court, D. Indiana",http://www.insd.uscourts.gov/,1817-03-03,1928-04-21,FD,Lawbox,Federal District,,,,,Duplicate with specific District Courts of Indiana
iad,usdistct,,0,,,,2023-10-03T01:23:44.156Z,FALSE,FALSE,FALSE,214.5,D. Iowa,D. Iowa,"District Court, D. Iowa",,,1882-07-20,FD,,Federal District,,,,,Not in use
iand,usdistct,75,1,motion,,62,2023-10-03T01:23:44.171Z,TRUE,FALSE,FALSE,215,N.D. Iowa,N.D. Iowa,"District Court, N.D. Iowa",http://www.iand.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Iowa,Court of Appeals for the Eighth Circuit,ca8,
iasd,usdistct,77,1,all,,63,2023-10-03T01:23:44.178Z,TRUE,FALSE,FALSE,216,S.D. Iowa,S.D. Iowa,"District Court, S.D. Iowa",http://www.iasd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Iowa,Court of Appeals for the Eighth Circuit,ca8,
ksd,usdistct,79,1,all,,83,2023-10-03T01:23:44.184Z,TRUE,FALSE,FALSE,228,D. Kan.,D. Kansas,"District Court, D. Kansas",http://www.ksd.uscourts.gov/,,,FD,Lawbox,Federal District,Federal,Kansas,Court of Appeals for the Tenth Circuit,ca10,
