id,parent_court_id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,jurisdiction_name,jurisdiction_type,jurisdiction_state,parent_court_full_name,parent_court_id,note
cma,,,,,,,2023-10-02T15:46:25.846Z,TRUE,FALSE,FALSE,113.21,,United States Court of Military Appeals,United States Court of Military Appeals,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
acca,,,,,,,2023-10-02T15:46:25.852Z,TRUE,TRUE,FALSE,113.3,A.C.C.A.,Army Court of Criminal Appeals,Army Court of Criminal Appeals,https://www.jagcnet.army.mil/ACCA,,,MA,,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
usarmymilrev,,,,,,,2023-10-02T15:46:25.856Z,TRUE,FALSE,FALSE,113.35,,U.S. Army Court of Military Review,U.S. Army Court of Military Review,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
uscgcoca,,,,,,,2024-01-09T19:19:37.698Z,TRUE,TRUE,FALSE,113.41,,U S Coast Guard Court of Criminal Appeals,U S Coast Guard Court of Criminal Appeals,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cgcomilrev,,,,,,,2023-10-02T15:46:25.864Z,TRUE,FALSE,FALSE,113.42,,U S Coast Guard Court of Military Review,U S Coast Guard Court of Military Review,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cc,,,,,,,2013-10-18T00:47:36.613Z,TRUE,FALSE,FALSE,113.5,Ct. Cl.,Court of Claims,United States Court of Claims,http://www.fjc.gov/history/home.nsf/page/courts_special_coc.html,1855-02-24,1992-10-29,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
uscfc,,15,1,all,,,2024-01-09T19:20:03.553Z,TRUE,TRUE,FALSE,113.6,Fed. Cl.,Federal Claims,United States Court of Federal Claims,http://www.uscfc.uscourts.gov/,1982-04-02,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
com,,,,,,,2013-08-14T22:19:08Z,TRUE,FALSE,FALSE,113.9,Comm. Ct.,Commerce Court,Commerce Court,http://www.fjc.gov/history/home.nsf/page/courts_special_com.html,1910-01-01,1913-01-01,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
ccpa,,,,,,,2013-08-14T22:19:17Z,TRUE,FALSE,FALSE,114,C.C.P.A.,Customs and Patent Appeals,Court of Customs and Patent Appeals,http://www.cafc.uscourts.gov/,1909-08-05,1982-04-02,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cusc,,,,,,,2014-06-19T00:34:16.654Z,TRUE,FALSE,FALSE,114.1,Cust. Ct.,U.S. Customs Court,United States Customs Court,http://www.fjc.gov/history/home.nsf/page/courts_special_cc_bib.html,1926-01-01,1980-01-01,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
tax,,,,,,,2013-08-14T22:20:02Z,TRUE,TRUE,FALSE,114.2,Tax Ct.,U.S. Tax Court,United States Tax Court,http://www.ustaxcourt.gov/,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
bta,,,0,,,,2020-01-17T17:36:23.522Z,TRUE,FALSE,FALSE,114.3,B.T.A.,Board of Tax Appeals,United States Board of Tax Appeals,,1924-01-01,1942-12-31,FS,United States Board of Tax Appeals was a precursor to the United States Tax Court.,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
bia,,,,,,,2021-12-31T00:47:13.317Z,TRUE,TRUE,FALSE,114.5,BIA,Board of Immigration Appeals,Board of Immigration Appeals,https://www.justice.gov/eoir/ag-bia-decisions,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
olc,ag,,,,,,2023-10-03T01:23:43.483Z,TRUE,TRUE,FALSE,114.52,,Office of Legal Counsel,Department of Justice Office of Legal Counsel,https://www.justice.gov/olc,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
padeptjust,ag,,,,,,2023-10-03T01:23:43.503Z,FALSE,FALSE,FALSE,114.54,,Pennsylvania Department of Justice,Pennsylvania Department of Justice,,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
philadeptjust,ag,,,,,,2023-10-03T01:23:43.511Z,FALSE,FALSE,FALSE,114.541,Phila. Dept. Just.,Philadelphia Department of Justice,Philadelphia Department of Justice,,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
deptinterior,,,,,,,2022-12-15T18:01:59.410Z,FALSE,FALSE,FALSE,114.6,,Department of Interior,Department of Interior,,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
uslandoffice,,,,,,,2022-12-15T18:01:59.904Z,FALSE,FALSE,FALSE,114.601,US Land Office,United States Land Office,United States Land Office,,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
ussurveyor,,,,,,,2022-12-15T18:01:59.909Z,FALSE,FALSE,FALSE,114.602,,United States Surveyor,United States Surveyor,,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
mc,,,,,,,2023-10-02T15:46:25.868Z,TRUE,FALSE,FALSE,114.99,M.C.,Military Commission Review,United States Court of Military Commission Review,http://www.mc.mil/cases/USCourtofMilitaryCommissionReview.aspx,,,MA,Lawbox,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
mspb,,,,,,,2014-09-02T23:05:21.019Z,TRUE,TRUE,FALSE,114.995,MSPB,Merit Systems Protection Board,Merit Systems Protection Board,http://www.mspb.gov/,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
nmcca,,,,,,,2023-10-02T15:46:25.874Z,TRUE,TRUE,FALSE,114.996,N.M.C.C.A.,Navy-Marine Corps Court of Criminal Appeals,Navy-Marine Corps Court of Criminal Appeals,http://www.jag.navy.mil/,,,MA,,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
usnmcmilrev,,,,,,,2023-10-02T15:46:25.879Z,TRUE,FALSE,FALSE,114.997,,U.S. Navy-Marine Corps Court of Military Review,U.S. Navy-Marine Corps Court of Military Review,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cavc,,,,,,,2013-08-14T22:20:17Z,TRUE,TRUE,FALSE,115,Vet. App.,Veterans Claims,United States Court of Appeals for Veterans Claims,http://www.uscourts.cavc.gov/,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
bva,,,,,,,2024-02-01T14:28:07.431Z,TRUE,FALSE,FALSE,115.1,Board of Vet. App.,Board of Veterans' Appeals,Board of Veterans' Appeals,http://www.index.va.gov/search/va/bva_search.jsp,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
eca,,,,,,,2013-08-14T22:20:25Z,TRUE,FALSE,FALSE,116,Emer. Ct. App.,Emergency Court of Appeals,Emergency Court of Appeals,https://secure.wikimedia.org/wikipedia/en/wiki/Emergency_Court_of_Appeals,1942-01-30,1962-04-18,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
