id,full_name,jurisdiction,jurisdiction_name,jurisdiction_type,jurisdiction_state,appeals_to_full_name,appeals_to_id,note
ganb,"United States Bankruptcy Court, N.D. Georgia",FB,Federal Bankruptcy,Federal,Georgia,"District Court, N.D. Georgia",gand,
gasb,"United States Bankruptcy Court, S.D. Georgia",FB,Federal Bankruptcy,Federal,Georgia,"District Court, S.D. Georgia",gasd,
hib,"United States Bankruptcy Court, D. Hawaii",FB,Federal Bankruptcy,Federal,Hawaii,"District Court, D. Hawaii",hid,
hib,"United States Bankruptcy Court, D. Hawaii",FB,Federal Bankruptcy,Federal,Hawaii,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
idb,"United States Bankruptcy Court, D. Idaho",FB,Federal Bankruptcy,Federal,Idaho,"District Court, D. Idaho",idd,
idb,"United States Bankruptcy Court, D. Idaho",FB,Federal Bankruptcy,Federal,Idaho,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
ilcb,"United States Bankruptcy Court, C.D. Illinois",FB,Federal Bankruptcy,Federal,Illinois,"District Court, C.D. Illinois",ilcd,
ilnb,"United States Bankruptcy Court, N.D. Illinois",FB,Federal Bankruptcy,Federal,Illinois,"District Court, N.D. Illinois",ilnd,
ilsb,"United States Bankruptcy Court, S.D. Illinois",FB,Federal Bankruptcy,Federal,Illinois,"District Court, S.D. Illinois",ilsd,
innb,"United States Bankruptcy Court, N.D. Indiana",FB,Federal Bankruptcy,Federal,Indiana,"District Court, N.D. Indiana",innd,
insb,"United States Bankruptcy Court, S.D. Indiana",FB,Federal Bankruptcy,Federal,Indiana,"District Court, S.D. Indiana",insd,
ianb,"United States Bankruptcy Court, N.D. Iowa",FB,Federal Bankruptcy,Federal,Iowa,"District Court, N.D. Iowa",iand,
ianb,"United States Bankruptcy Court, N.D. Iowa",FB,Federal Bankruptcy,Federal,Iowa,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
iasb,"United States Bankruptcy Court, S.D. Iowa",FB,Federal Bankruptcy,Federal,Iowa,"District Court, S.D. Iowa",iasd,
iasb,"United States Bankruptcy Court, S.D. Iowa",FB,Federal Bankruptcy,Federal,Iowa,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
ksb,"United States Bankruptcy Court, D. Kansas",FB,Federal Bankruptcy,Federal,Kansas,"District Court, D. Kansas",ksd,
ksb,"United States Bankruptcy Court, D. Kansas",FB,Federal Bankruptcy,Federal,Kansas,Bankruptcy Appellate Panel of the Tenth Circuit,bap10,
kyeb,"United States Bankruptcy Court, E.D. Kentucky",FB,Federal Bankruptcy,Federal,Kentucky,"District Court, E.D. Kentucky",kyed,
kyeb,"United States Bankruptcy Court, E.D. Kentucky",FB,Federal Bankruptcy,Federal,Kentucky,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
kywb,"United States Bankruptcy Court, W.D. Kentucky",FB,Federal Bankruptcy,Federal,Kentucky,"District Court, W.D. Kentucky",kywd,
kywb,"United States Bankruptcy Court, W.D. Kentucky",FB,Federal Bankruptcy,Federal,Kentucky,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
laeb,"United States Bankruptcy Court, E.D. Louisiana",FB,Federal Bankruptcy,Federal,Louisiana,"District Court, E.D. Louisiana",laed,
lamb,"United States Bankruptcy Court, M.D. Louisiana",FB,Federal Bankruptcy,Federal,Louisiana,"District Court, M.D. Louisiana",lamd,
lawb,"United States Bankruptcy Court, W.D. Louisiana",FB,Federal Bankruptcy,Federal,Louisiana,"District Court, W.D. Louisiana",lawd,
bapme,"Bankruptcy Appellate Panel, D. Maine",FBP,Federal Bankruptcy Panel,Federal,Maine,Court of Appeals for the First Circuit,ca1,
meb,"United States Bankruptcy Court, D. Maine",FB,Federal Bankruptcy,Federal,Maine,"District Court, D. Maine",med,
meb,"United States Bankruptcy Court, D. Maine",FB,Federal Bankruptcy,Federal,Maine,"Bankruptcy Appellate Panel, D. Maine",bapme,
mdb,"United States Bankruptcy Court, D. Maryland",FB,Federal Bankruptcy,Federal,Maryland,"District Court, D. Maryland",mdd,
bapma,Bankruptcy Appellate Panel of Massachusetts,FBP,Federal Bankruptcy Panel,Federal,Massachusetts,Court of Appeals for the First Circuit,ca1,
mab,"United States Bankruptcy Court, D. Massachusetts",FB,Federal Bankruptcy,Federal,Massachusetts,"District Court, D. Massachusetts",mad,
mab,"United States Bankruptcy Court, D. Massachusetts",FB,Federal Bankruptcy,Federal,Massachusetts,Bankruptcy Appellate Panel of Massachusetts,bapma,
mieb,"United States Bankruptcy Court, E.D. Michigan",FB,Federal Bankruptcy,Federal,Michigan,"District Court, E.D. Michigan",mied,
mieb,"United States Bankruptcy Court, E.D. Michigan",FB,Federal Bankruptcy,Federal,Michigan,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
miwb,"United States Bankruptcy Court, W.D. Michigan",FB,Federal Bankruptcy,Federal,Michigan,"District Court, W.D. Michigan",miwd,
miwb,"United States Bankruptcy Court, W.D. Michigan",FB,Federal Bankruptcy,Federal,Michigan,Bankruptcy Appellate Panel of the Sixth Circuit,bap6,
mnb,"United States Bankruptcy Court, D. Minnesota",FB,Federal Bankruptcy,Federal,Minnesota,"District Court, D. Minnesota",mnd,
mnb,"United States Bankruptcy Court, D. Minnesota",FB,Federal Bankruptcy,Federal,Minnesota,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
msnb,"United States Bankruptcy Court, N.D. Mississippi",FB,Federal Bankruptcy,Federal,Mississippi,"District Court, N.D. Mississippi",msnd,
mssb,"United States Bankruptcy Court, S.D. Mississippi",FB,Federal Bankruptcy,Federal,Mississippi,"District Court, S.D. Mississippi",mssd,
moeb,"United States Bankruptcy Court, E.D. Missouri",FB,Federal Bankruptcy,Federal,Missouri,"District Court, E.D. Missouri",moed,
moeb,"United States Bankruptcy Court, E.D. Missouri",FB,Federal Bankruptcy,Federal,Missouri,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
mowb,"United States Bankruptcy Court, W.D. Missouri",FB,Federal Bankruptcy,Federal,Missouri,"District Court, W.D. Missouri",mowd,
mowb,"United States Bankruptcy Court, W.D. Missouri",FB,Federal Bankruptcy,Federal,Missouri,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
mtb,"United States Bankruptcy Court, D. Montana",FB,Federal Bankruptcy,Federal,Montana,"District Court, D. Montana",mtd,
