jurisdiction_type,count
,58200727
Federal question,4415653
Diversity of citizenship,2372273
Government defendant,1226480
Federal Question,839125
Government plaintiff,560439
Diversity,344917
U.S. Government Defendant,119029
U.S. Government Plaintiff,37968
Local question,5802
0,1543
Local Question,288
6,9
Federal Question 管辖权：联邦问题,1
,1
5,1
Federal Question 管辖权： 联邦问题,1
