docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
18-315,CFX,"COCHISE CONSULTANCY, INC. V. UNITED STATES EX REL. HUNT",USCA-11,11/16/18,3/19/19,5/13/19,AFFIRMED,Oct-18,18-315,COCHISE CONSULTANCY V. UNITED STATES,887 F.3d 1081,16-12836
18-389,CFX,"PARKER DRILLING MANAGEMENT SERVICES, LTD. V. NEWTON",USCA-9,1/11/19,4/16/19,6/10/19,VACATED AND REMANDED,Oct-18,18-389,"PARKER DRILLING MANAGEMENT SERVICES, LTD. V. NEWTON",881 F.3d 1078,15-56352
18-422,ATX,RUCHO V. COMMON CAUSE,"USDC-Middle Dist., NC",,3/26/19,6/27/19,,Oct-18,18-422,RUCHO V. COMMON CAUSE,318 F.Supp.3d 777,1
18-431,CFY,UNITED STATES V. DAVIS,USCA-5,1/4/19,4/17/19,6/24/19,"AFFIRMED IN PART, VACATED IN PART, AND REMANDED",Oct-18,18-431,UNITED STATES V. DAVIS,903 F.3d 483,16-10330
18-457,CSX,NORTH CAROLINA DEPT. OF REVENUE V. KIMBERLEY RICE KAESTNER 1992,SC-NC,1/11/19,4/16/19,6/21/19,AFFIRMED,Oct-18,18-457,NORTH CAROLINA DEPT. OF REVENUE V. KAESTNER FAMILY TRUST,814 SE.2d 43,307PA15-2
18-459,CFX,EMULEX CORP. V. VARJABEDIAN,USCA-9,1/4/19,4/15/19,4/23/19,DISMISSED AS IMPROVIDENTLY GRANTED,Oct-18,18-459,EMULEX CORP. V. VARJABEDIAN,888 F.3d 399,16-55088
18-481,CFX,FOOD MARKETING INSTITUTE V. ARGUS LEADER MEDIA,USCA-8,1/11/19,4/22/19,6/24/19,REVERSED AND REMANDED,Oct-18,18-481,FOOD MARKETING INSTITUTE V. ARGUS LEADER MEDIA,889 F3d. 914,17-1346
18-485,CFX,MCDONOUGH V. SMITH,USCA-2,1/11/19,4/17/19,6/20/19,REVERSED AND REMANDED,Oct-18,18-485,McDONOUGH V. SMITH,898 F.3d 259,17-296
18-489,CFX,TAGGART V. LORENZEN,USCA-9,1/4/19,4/24/19,6/3/19,VACATED AND REMANDED,Oct-18,18-489,TAGGART V. LORENZEN,888 F.3d 438,16-35402
18-525,CFX,FORT BEND COUNTY V. DAVIS,USCA-5,1/11/19,4/22/19,6/3/19,AFFIRMED,Oct-18,18-525,"FORT BEND COUNTY, TX V. DAVIS",893 F.3d 300,16-20640
18-726,ATX,LAMONE V. BENISEK,USDC-Dist. of MD,,3/26/19,6/27/19,See No. 18-422,Oct-18,18-726,LAMONE V. BENISEK,2018 WL 5816831,1
18-966,CFX,DEPTARTMENT OF COMMERCE V. NEW YORK,USCA-2,2/15/19,4/23/19,6/27/19,"AFFIRMED IN PART, REVERSED IN PART, AND REMANDED",Oct-18,18-966,DEPARTMENT OF COMMERCE V. NEW YORK,2019 WL 190285,19-212
18-6210,CSY,MITCHELL V. WISCONSIN,SC-WI,1/11/19,4/23/19,6/27/19,VACATED AND REMANDED,Oct-18,18-6210,MITCHELL V. WISCONSIN,914 N.W.2d 151,2015AP304
17-1107,CFH,CARPENTER V. MURPHY,USCA-10,5/21/18,11/27/18,,,Oct-18,17-1107,SHARP V. MURPHY,875 F.3d 896,07-7068
17-1679,CFX,GRAY V. WILKIE,USCA-Fed,11/2/18,,6/24/19,VACATED AND REMANDED TO DISMISS AS MOOT,Oct-18,17-1679,GRAY V. WILKIE,875 F.3d 1102,2016-1782
18-557,CFX,DEPT. OF COMMERCE V. USDC S. DISTRICT NY,USCA-2,11/16/18,,,REMANDED with instructions to VACATE 9/25/18 & 10/9/18 orders,Oct-18,18-557,IN RE DEPARTMENT OF COMMERCE V.,MULTIPLE,18-2856
2019,CASES,FOR ARGUMENT,SC-KS,3/18/19,10/16/19,3/3/20,REVERSED AND REMANDED      Granted: 3/18/19   Decided: 3/3/20,Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-9,2/19/19,11/6/19,4/23/20,VACATED AND REMANDED  Granted:  2/19/19  Decided:  4/23/20,Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-11,4/22/19,11/4/19,4/23/20,AFFIRMED     Granted: 4/22/19   Decided: 4/23/20,Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-6,5/20/19,11/13/19,1/14/20,"AFFIRMED      Granted: 5/20/19   Decided: 1/14/20 18-1023)  18-1028)  18-1038)  CFX  CFX  CFX  MAINE COMMUNITY HEALTH OPTIONS V. UNITED STATES  MODA HEALTH PLAN, INC. V. UNITED STATES  LAND OF LINCOLN MUTUAL HEALTH V. UNITED STATES  Court:  USCA-Fed. Granted:  6/24/19    Argument Date: 12/10/19   Decided: 4/27/20",Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-11 Granted:,6/24/19,12/2/19,4/27/20,AFFIRMED  18-1165 CFX RETIREMENT PLANS COMM. OF IBM V. JANDER  Court: USCA-2     Granted: 6/3/19    Argument Date: 11/6/19   Decided: 1/14/20,Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-1,6/20/19,10/15/19,6/1/20,REVERSED AND REMANDED  18-1432 CFX NASRALLAH V. BARR  Court:  USCA-11     Argument Date: 3/2/20,Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-11,6/28/19,1/21/20,2/26/20,AFFIRMED  Granted:  6/28/19   Decided: 2/26/20,Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-9,10/4/19,2/25/20,5/7/20,VACATED AND REMANDED      Granted: 10/4/19   Decided: 5/7/20,Oct-19,,,,
2019,CASES,FOR ARGUMENT,SC-WA,1/17/20,4/28/20,7/6/20,AFFIRMED  19-518# CFX COLORADO DEPT. OF STATE V. BACA  Court:  USCA-10 Granted:  1/17/20  Order:  3/10/20 – no longer consolidated with No. 19-465 (SS – no part)     Argument Date: 4/28/20  Date: 4/3/20 – ARGUMENT POSTPONED;  4/13/20 – Reschedule for May 2020  Rescheduled Argument Date:  5/13/20 Decided:  7/6/20,Oct-19,,,,
"65, Orig.",,TEXAS V. NEW MEXICO,USCA-10 Granted:,5/21/18,4/21/20,7/9/20,"AFFIRMED (for the reasons stated in McGirt v. Oklahoma, ante, p. ___;  CT and SAA dissent; NMG – no part)  18-217  CFH MATHENA, WARDEN V. MALVO     Court: USCA-4    Argument Date: 10/16/19  Order:  2/26/20     R e s u l t : CASE DISMISSED – Rule 46.1      Granted: 3/18/19 18-540 CFX RUTLEDGE, ATT’Y GEN. OF AR V. PHARMACEUTICAL CARE MANAGEMENT ASSN.     Court: USCA-8     Granted: 1/10/20    Argument Date: 4/27/20  Date: 4/3/20 – Argument Postponed;  4/13/20 - Reschedule for 2020 Term  18-956 CFX GOOGLE LLC V. ORACLE AMERICA, INC.  Court:  USCA-Fed. Granted:  11/15/19    Argument Date: 3/24/20  Date: 3/16/20 – Argument Postponed;  4/13/20 - Reschedule for 2020 Term  19-71 CFX TANZIN V. TANVIR  Court: USCA-2       Granted: 11/22/19     Argument Date: 3/24/20  Date: 3/16/20 – Argument Postponed;  4/13/20 - Reschedule for 2020 Term  19-108)  19-184)  CMY  CMY  UNITED STATES V. BRIGGS  UNITED STATES V. COLLINS  Court:  USCA-AF Granted:  11/15/19    Argument Date: 3/23/20  Date: 3/16/20 – Argument Postponed; 4/13/20 - Reschedule for 2020 Term  19-292 CFX TORRES V. MADRID  Court:  USCA-10 Granted:  12/18/19    Argument Date: 3/30/20  Date: 3/16/20 – Argument Postponed;  4/13/20 - Reschedule for 2020 Term  - 10 -",Oct-19,,,,
2019,CASES,FOR ARGUMENT,USCA-3,12/6/19,3/25/20,,"CASE DISMISSED  19-438 CFH PEREIDA V. BARR, ATT’Y GEN.  Court: USCA-8     Granted: 12/18/19    Argument Date: 3/30/20  Date: 3/16/20 – Argument Postponed;  4/13/20 - Reschedule for 2020 Term  Cases (Arguments) Made Available: 86 (69) + 1 (1) for reargument from 2018 Term  Cases (Arguments) Disposed of Without Argument: 1 (1)  - B Y SIGNED OPINION/JUDGMENT:  - B Y PER CURIAM OPINION:  - D ISMISSED/",Oct-19,,,,
2019,CASES,FOR ARGUMENT,,,,,,Oct-19,,,,
"65, Orig.",,TEXAS V. NEW MEXICO,USCA-8,1/10/20,4/21/20,12/14/20,"MOTION DENIED (ACB – no part)  142, Orig. * FLORIDA V. GEORGIA  Order:  10/5/20 – Exceptions to Second Report of Special Master – Set for oral argument    Argument Date: 2/22/21   Decided: 4/1/21",Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-2,11/22/19,3/24/20,12/10/20,AFFIRMED (ACB – no part)  19-108) *  19-184) *  CMY  CMY  UNITED STATES V. BRIGGS  UNITED STATES V. COLLINS  Court:  USCA-AF Granted:  11/15/19    Argument Date: 3/23/20  Date: 3/16/20 – Argument Postponed:  4/13/20 - Reschedule for 2020 Term  Rescheduled Argument Date:  10/13/20 Decided:  12/10/20,Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-3,12/6/19,3/25/20,12/10/20,VACATED and REMANDED (ACB – no part)  19-351 * CFX FEDERAL REPUBLIC OF GERMANY V. PHILIPP     Court: USCA-DC     Argument Date: 12/7/20     A u t h o r : C h i e f J u s t i c e    Granted: 7/2/20   Decided: 2/3/21     R e s u l t : VACATED AND REMANDED  19-357 * CFX CHICAGO V. FULTON  Court: USCA-7     Granted: 12/18/19    Argument Date: 4/20/20  Date: 4/3/20 – Argument Postponed:  4/13/20 - Reschedule for 2020 Term  Rescheduled Argument Date:  10/13/20 Decided:  1/14/21,Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-8,12/18/19,3/30/20,3/4/21,"AFFIRMED (ACB – no part)  19-508 * CFX AMG CAPITAL MGMT., LLC V. FTC  Courts:  USCA-9 Granted:  7/9/20  Order Date:  11/9/20 – No longer consolidated with No. 19-825      Argument Date: 1/13/21   Decided: 4/22/21",Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-6 Argument Date:,6/8/20,11/9/20,4/29/21,REVERSED      Granted: 6/8/20  Decided:  4/29/21,Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-3 Granted:,10/2/20,1/19/21,4/1/21,REVERSED  19-1257)  19-1258)  CFX  CFX  BRNOVICH V. DEMOCRATIC NATIONAL COMMITTEE  ARIZONA REPUBLICAN PARTY V. DEMOCRATIC NATIONAL COMMITTEE  Court: USCA-9     Granted: 10/2/20  Argument Date:  3/2/21 Decided:  7/1/21,Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-5 Argument Date:,5/4/20,12/2/20,5/17/21,AFFIRMED      Granted: 5/4/20  Decided:  5/17/21,Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-9,12/16/20,3/30/21,6/25/21,REVERSED AND REMANDED      Granted: 12/16/20   Decided: 6/25/21,Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-4,1/8/21,4/20/21,6/14/21,"REVERSED - See Opinion Greer v. United States, No. 19-8709  20-472 CFX HOLLYFRONTIER CHEYENNE REFINING, LLC V. RENEWABLE FUELS ASSN.     Court: USCA-10    Granted: 1/8/21    Argument Date: 4/27/21   Decided: 6/25/21",Oct-20,,,,
2020,CASES,FOR ARGUMENT,USCA-5,6/15/20,12/8/20,1/25/21,"DISMISSED AS IMPROVIDENTLY GRANTED  19-1212 CFX MAYORKAS V. INNOVATION LAW LAB    Court: USCA-9     Granted: 10/19/20    Argument Date: 3/1/21  Order Date:  2/3/21 – Further briefing held in abeyance, and case removed from the       February 2021 argument calendar     Decided: 6/21/21    R e s u l t : VACATED AND REMANDED with instructions to direct the District Court to  vacate as moot the April 8, 2019 order granting preliminary injunction.  19-1328 CFX DEPT. OF JUSTICE V. HOUSE COMMITTEE ON THE JUDICIARY  Court:  USCA-DC Granted:  7/2/20    Argument Date: 12/2/20  Order Date:  11/20/20 – Removed from the December 2020 Argument Calendar     Decided: 7/2/21     R e s u l t : VACATED AND REMANDED with instructions to direct the District Court to  vacate the October 25, 2019 order granting Committee’s application.  20-37)  20-38)  CFX  CFX  BECERRA, SEC. OF H&HS V. GRESHAM  ARKANSAS V. GRESHAM  Court:  USCA-DC Granted:  12/4/20    Argument Date: 3/29/21  Date: 3/11/21 – Removed from calendar for March 2021 argument session  Order Date:  4/5/21 - Cases held in abeyance pending further order of Court.   20-138 CFX BIDEN, PRESIDENT OF U.S. V. SIERRA CLUB    Court: USCA-9     Granted: 10/19/20    Argument Date: 2/22/21  Order Date:  2/3/21 – Further briefing held in abeyance, and case removed from the       February 2021 argument calendar     Decided: 7/2/21     R e s u l t : VACATED AND REMANDED with instructions to direct the District Court to      vacate its judgments.  - 10 -",Oct-20,,,,
2020,CASES,FOR ARGUMENT,,,,,,Oct-20,,,,
2021,CASES,FOR ARGUMENT,USCA-5,8/23/21,10/4/21,11/22/21,"EXCEPTIONS OVERRULED IN PART AND SUSTAINED IN PART, AND CASE  DISMISSED  19-896 CFH JOHNSON V. ARTEAGA-MARTINEZ    Courts: USCA-3 Argument Date:  1/11/22",Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-9,8/23/21,1/11/22,6/13/22,REVERSED AND REMANDED      Granted: 8/23/21   Decided: 6/13/22,Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-2 Argument Date:,3/8/21,11/2/21,4/4/22,REVERSED AND REMANDED      Granted: 3/8/21  Decided:  4/4/22,Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-9,6/1/21,11/8/21,2/24/22,VACATED AND REMANDED      Granted: 6/1/21   Decided: 2/24/22,Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-5,5/17/21,11/2/21,3/31/22,REVERSED AND REMANDED      Granted: 5/17/21   Decided: 3/31/22,Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-9,9/30/21,1/18/22,4/21/22,"VACATED AND REMANDED  20-1573 CSX VIKING RIVER CRUISES, INC. V. MORIANA  Court: CA-CA, 2 nd App. Dist.     Argument Date: 3/30/22",Oct-21,,,,
2021,CASES,FOR ARGUMENT,USDC-DC Juris Postponed:,11/5/21,1/19/22,5/16/21,REVERSED      Granted: 11/5/21    Decided: 6/8/22,Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-9,1/10/22,4/18/22,6/21/22,REVERSED AND REMANDED      Granted: 1/10/22   Decided: 6/21/22 21-418 CFX KENNEDY V. BREMERTON SCHOOL DIST.  Court: USCA-9    Argument Date: 4/25/22,Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-6,1/14/22,4/26/22,6/21/22,REVERSED AND REMANDED      Granted: 1/14/22   Decided: 6/21/22,Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-2,2/22/21,10/5/21,6/15/22,"CASE DISMISSED – Rule 46  20-794 CFX SERVOTRONICS, INC. V. ROLLS-ROYCE PLC  Court: USCA-7 Granted: 3/22/21 (SAA – no part)    Argument Date: 10/5/21  Date: 9/8/21 – Removed from the October 2021 Argument Calendar     Order: 9/29/21    R e s u l t : CASE DISMISSED – Rule 46  20-1374 CFX CVS PHARMACY, INC. V. DOE    Court: USCA-9    Argument Date: 12/7/21     Order: 11/12/21     R e s u l t : CASE DISMISSED – Rule 46      Granted: 7/2/21 20-1541 CSX PIVOTAL SOFTWARE, INC. V. SUPERIOR COURT OF CALIFORNIA  Court: CA-CA, 1 st app. Dist. Granted:  7/2/21    Argument Date: 11/9/21  Date: 9/2/21 – Further briefing held in abeyance, and case removed from the        November 2021 argument calendar  20-1775# CFX ARIZONA V. CITY AND COUNTY OF SAN FRANCISCO  Court: USCA-9     Granted: 10/29/21    Argument Date: 2/23/22   Decided: 6/15/22",Oct-21,,,,
2021,CASES,FOR ARGUMENT,USCA-5,10/22/21,11/1/21,12/10/21,Writ of certiorari - DISMISSED AS IMPROVIDENTLY GRANTED;      Application to vacate stay – DENIED  Cases (Arguments) Made Available: 75 (67) ● + Applications 4 (2) = 79 (69)  Cases (Arguments) Disposed of Without Argument: 8 (5)  ●  - B Y SIGNED OPINION/JUDGMENT:  - B Y PER CURIAM OPINION:  - D ISMISSED: 6 (4)  - O THER: 2 (1)  Cases/Applications (Arguments) Argued: 70 (63)  Cases/Applications (Arguments) Disposed of With Argument: 70 (63)  - B Y SIGNED OPINION/JUDGMENT: 63 (58)  - B Y PER CURIAM OPINION: 6 (4)  - D ISMISSED IMPROVIDENTLY GRANTED/,Oct-21,,,,
2021,CASES,FOR ARGUMENT,,,,,,Oct-21,,,,
"156, Orig.",,*,,,2/27/23,4/18/23,New Jersey motion for judgment on pleadings – GRANTED;      New York cross-motion for judgment on pleadings – DENIED.,Oct-22,,,,
20-1199,CFX,"STUDENTS FOR FAIR ADMISSIONS, INC. V. PRESIDENT AND FELLOWS OF",USCA-1,1/24/22,10/31/22,6/29/23,"REVERSED (KBJ – no part as to No. 20-1199;  Opinion also for Students for Fair        Admissions, Inc. v. University of North Carolina, No. 21-707–Reversed)",Oct-22,20-1199,STUDENTS FOR FAIR ADMISSIONS V. PRESIDENT AND FELLOWS OF,980 F.3d 157,19-2005
21-442,CFX,REED V. GOERTZ,USCA-5,4/25/22,10/11/22,4/19/23,REVERSED,Oct-22,21-442,REED V. GOERTZ,995 F.3d 425,19-70022
21-468,CFX,NATIONAL PORK PRODUCERS COUNCIL V. ROSS,USCA-9,3/28/22,10/11/22,5/11/23,AFFIRMED,Oct-22,21-468,NATIONAL PORK PRODUCERS COUNCIL V. ROSS,6 F.4th 1021,20-55631
21-476,CFX,303 CREATIVE LLC V. ELENIS,USCA-10,2/22/22,12/5/22,6/30/23,REVERSED,Oct-22,21-476,303 CREATIVE LLC V. ELENIS,6 F.4th 1160,19-1413
21-707,CFX,STUDENTS FOR FAIR ADMISSIONS V. UNIVERSITY OF NORTH CAROLINA,USCA-4,1/24/22,10/31/22,6/29/23,"REVERSED - See opinion Students for Fair Admissions, Inc. v. President         and Fellows of Harvard College, No. 20-1199",Oct-22,21-707,STUDENTS FOR FAIR ADMISSIONS V. UNIVERSITY OF NORTH CAROLINA,1:14CV954,21-2263
21-806,CFX,HEALTH AND HOSPITAL CORPORATION OF MARION CTY. V. TALEVSKI,USCA-7,5/2/22,11/8/22,6/8/23,AFFIRMED,Oct-22,21-806,HEALTH AND HOSPITAL CORP. V. TALEVSKI,6 F.4th 713,20-1664
21-846,CSH,CRUZ V. ARIZONA,SC-AZ,3/28/22,11/1/22,2/22/23,VACATED AND REMANDED,Oct-22,21-846,CRUZ V. ARIZONA,487 P.3d 991,CR-17-0567-PC
21-857,CFH,JONES V. HENDRIX,USCA-8,5/16/22,11/1/22,6/22/23,AFFIRMED,Oct-22,21-857,JONES V. HENDRIX,8 F.4th 683,20-1286
21-869,CFX,"ANDY WARHOL FOUNDATION FOR VISUAL ARTS, INC. V. GOLDSMITH",USCA-2,3/28/22,10/12/22,5/18/23,AFFIRMED,Oct-22,21-869,"ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS, INC. V. GOLDSMITH",11 F.4th 26,19-2420
21-984,CFX,"HELIX ENERGY SOLUTIONS GROUP, INC. V. HEWITT",USCA-5,5/2/22,10/12/22,2/22/23,AFFIRMED,Oct-22,21-984,"HELIX ENERGY SOLUTIONS GROUP, INC. V. HEWITT",15 F.4th 289,19-20023
21-1052,CFX,"UNITED STATES EX REL. POLANSKY V. EXECUTIVE HEALTH RESOURCES, INC.",USCA-3,6/21/22,12/6/22,6/16/23,AFFIRMED,Oct-22,21-1052,"UNITED STATES, EX REL. POLANSKY V. EXECUTIVE HEALTH RESOURCES,",17 F.4th 376,19-3810
21-1164,CFX,WILKINS V. UNITED STATES,USCA-9,6/6/22,11/30/22,3/28/23,REVERSED AND REMANDED,Oct-22,21-1164,WILKINS V. UNITED STATES,13 F.4th 791,20-35745
21-1168,CSX,MALLORY V. NORFOLK SOUTHERN R. CO.,"SC-PA, E Dist",4/25/22,10/11/22,6/27/23,VACATED AND REMANDED,Oct-22,21-1168,MALLORY V. NORFOLK SOUTHERN RAILWAY CO.,266 A.3d 542,3
21-1195,CFX,BITTNER V. UNITED STATES,USCA-5,6/21/22,11/2/22,2/28/23,REVERSED AND REMANDED,Oct-22,21-1195,BITTNER V. UNITED STATES,19 F.4th 734,20-40597
21-1271,CSX,MOORE V. HARPER,SC-NC,6/30/22,12/7/22,6/27/23,AFFIRMED,Oct-22,21-1271,MOORE V. HARPER,380 NC 317,413PA21
21-1449,CSX,"GLACIER NORTHWEST, INC. V. INT’L BROTHERHOOD OF TEAMSTERS",SC-WA,10/3/22,1/10/23,6/1/23,REVERSED AND REMANDED,Oct-22,21-1449,"GLACIER NORTHWEST, INC. V. INTERNATIONAL BROTHERHOOD OF",500 P.3d 119,99319-0
21-1450,CFY,TURKIYE HALK BANKASI A.S. V. UNITED STATES,USCA-2,10/3/22,1/17/23,4/19/23,"AFFIRMED IN PART, VACATED AND REMANDED IN PART",Oct-22,21-1450,TURKIYE HALK BANKASI A.S. V. UNITED STATES,16 F.4th 336,20-3499
21-1454,CFX,OHIO ADJUTANT GENERAL’S DEPT. V. FLRA,USCA-6,10/3/22,1/9/23,5/18/23,AFFIRMED,Oct-22,21-1454,THE OHIO ADJUTANT GENERAL'S DEPT. V. FEDERAL LABOR RELATIONS,21 F.4th 401,20-3908
22-58,CFX,UNITED STATES V. TEXAS,USCA-5,7/21/22,11/29/22,6/23/23,REVERSED,Oct-22,22-58,UNITED STATES V. TEXAS,40 F.4th 205,22-40367
22-96,CFX,FINANCIAL OVERSIGHT AND MANAGEMENT BD. FOR P. R. V. CENTRO DE,USCA-1,10/3/22,1/11/23,5/11/23,REVERSED AND REMANDED,Oct-22,22-96,FINANCIAL OVERSIGHT AND MANAGEMENT BOARD FOR PUERTO RICO V.,35 F.4th 1,21-1301
22-105,CFX,"COINBASE, INC. V. BIELSKI",USCA-9,12/9/22,3/21/23,6/23/23,"REVERSED AND REMANDED−as to respondent Bielski;       DISMISSED AS IMPROVIDENTLY GRANTED−as to respondents Suski, et al.",Oct-22,22-105,"COINBASE, INC. V. BIELSKI",2022 WL 3095991,22-15566
22-138,CSY,COUNTERMAN V. COLORADO,CA-CO,1/13/23,4/19/23,6/27/23,VACATED AND REMANDED,Oct-22,22-138,COUNTERMAN V. COLORADO,497 P.3d 1039,17CA1465
22-179,CFY,UNITED STATES V. HANSEN,USCA-9,12/9/22,3/27/23,6/23/23,REVERSED AND REMANDED,Oct-22,22-179,UNITED STATES V. HANSEN,25 F.4th 1103,17-10548
22-196,CFY,SAMIA V. UNITED STATES,USCA-2,12/13/22,3/29/23,6/23/23,AFFIRMED,Oct-22,22-196,SAMIA V. UNITED STATES,2022 WL 1166623,18-3074
22-227,CFX,LAC DU FLAMBEAU BAND OF LAKE SUPERIOR CHIPPEWA INDIANS V. COUGHLIN,USCA-1,1/13/23,4/24/23,6/15/23,AFFIRMED,Oct-22,22-227,LAC DU FLAMBEAU BAND V. COUGHLIN,33 F.4th 600,21-1153
22-506,CFX,BIDEN V. NEBRASKA,USCA-8,12/1/22,2/28/23,6/30/23,REVERSED AND REMANDED;  Application (22A444) DENIED AS MOOT,Oct-22,22-506,BIDEN V. NEBRASKA,52 F.4th 1044,22-3179
20-1541,CSX,"PIVOTAL SOFTWARE, INC. V. SUPERIOR COURT OF CALIFORNIA","CA-CA, 1st app. Dist",7/2/21,11/9/21,,CASE DISMISSED – Rule 46,Oct-22,20-1541,"PIVOTAL SOFTWARE, INC. V. SUPERIOR COURT OF CALIFORNIA",SUP.CT. ORDER,A162228
21-1397,CFX,IN RE GRAND JURY,USCA-9,10/3/22,1/9/23,1/23/23,DISMISSED AS IMPROVIDENTLY GRANTED,Oct-22,21-1397,IN RE GRAND JURY V.,23 F.4th 1088,21-55085
21-1596,CFX,"ARDOIN, LA SEC. OF STATE V. ROBINSON",USCA-5,,,,"DISMISSED AS IMPROVIDENTLY GRANTED; Stay dated June 28, 2022 -           VACATED",Oct-22,21-1596,ARDOIN V. ROBINSON,605 F.Supp.3d 759,22-30333
22-592,CFX,ARIZONA V. MAYORKAS,USCA-DC,12/27/22,3/1/23,,VACATED AND REMANDED,Oct-22,22-592,ARIZONA V. MAYORKAS,22-5325,22-5325
"141, Orig.",,TEXAS V. NEW MEXICO,,,3/20/24,6/21/24,EXCEPTION SUSTAINED,Oct-23,,,,
22-340,CFY,PULSIFER V. UNITED STATES,USCA-8,2/27/23,10/2/23,3/15/24,AFFIRMED,Oct-23,22-340,PULSIFER V. UNITED STATES,39 F.4th 1018,21-1609
22-448,CFX,CONSUMER FINANCIAL PROTECTION BUREAU V. COMMUNITY FINANCIAL,USCA-5,2/27/23,10/3/23,5/16/24,REVERSED AND REMANDED,Oct-23,22-448,CONSUMER FINANCIAL PROTECTION BUREAU V. COMMUNITY FINANCIAL,51 F.4th 616,21-50826
22-451,CFX,LOPER BRIGHT ENTERPRISES V. RAIMONDO,USCA-DC,5/1/23,1/17/24,6/28/24,"VACATED AND REMANDED (KBJ – no part as to No. 22-451)       – Opinion also for Relentless, Inc., et al.  v. Department of Commerce, et al. ,      No. 22-1219 - Vacated and Remanded.",Oct-23,22-451,LOPER BRIGHT ENTERPRISES V. RAIMONDO,45 F.4th 359,21-5166
22-585,CFX,CULLEY V. MARSHALL,USCA-11,4/17/23,10/30/23,5/9/24,AFFIRMED,Oct-23,22-585,"CULLEY V. MARSHALL, ATTORNEY GENERAL OF ALABAMA",2022 WL 2663643,21-13805
22-666,CFX,WILKINSON V. GARLAND,USCA-3,6/30/23,11/28/23,3/19/24,"REVERSED IN PART, VACATED IN PART AND REMANDED",Oct-23,22-666,WILKINSON V. GARLAND,2022 WL 4298337,21-3166
22-800,CFX,MOORE V. UNITED STATES,USCA-9,6/26/23,12/5/23,6/20/24,AFFIRMED,Oct-23,22-800,MOORE V. UNITED STATES,36 F.4TH 930,20-36122
22-807,ATX,ALEXANDER V. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,USDC-SC,,10/11/23,5/23/24,REVERSED IN PART AND REMANDED IN PART,Oct-23,22-807,ALEXANDER V. SC CONFERENCE OF THE NAACP,2023 WL 118775,3
22-859,CFX,SEC V. JARKESY,USCA-5,6/30/23,11/29/23,6/27/24,AFFIRMED AND REMANDED,Oct-23,22-859,SECURITIES AND EXCHANGE COMMISSION V. JARKESY,34 F.4th 446,20-61007
22-888,CFX,RUDISILL V. MCDONOUGH,USCA-Fed,6/26/23,11/8/23,4/16/24,REVERSED AND REMANDED,Oct-23,22-888,RUDISILL V. McDONOUGH,55 F.4th 879,2020-1637
22-915,CFY,UNITED STATES V. RAHIMI,USCA-5,6/30/23,11/7/23,6/21/24,REVERSED AND REMANDED,Oct-23,22-915,UNITED STATES V. RAHIMI,61 F.4th 443,21-11001
22-976,CFX,GARLAND V. CARGILL,USCA-5,11/3/23,2/28/24,6/14/24,AFFIRMED,Oct-23,22-976,GARLAND V. CARGILL,57 F.4th 447,20-51016
22-982,CFH,THORNELL V. JONES,USCA-9,12/13/23,4/17/24,5/30/24,REVERSED AND REMANDED,Oct-23,22-982,THORNELL V. JONES,52 F.4th 1104,18-99005
22-1008,CFX,"CORNER POST, INC. V. BOARD OF GOVERNORS, FRS",USCA-8,9/29/23,2/20/24,7/1/24,REVERSED AND REMANDED,Oct-23,22-1008,"CORNER POST, INC. V. BOARD OF GOVERNORS OF THE FEDERAL RESERVE",55 F.4th 634,22-1639
22-1025,CFX,GONZALEZ V. TREVINO,USCA-5,10/13/23,3/20/24,6/20/24,VACATED AND REMANDED,Oct-23,22-1025,GONZALEZ V. TREVINO,42 F.4th 487,21-50276
