docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
15-1293,CFX,"MATAL, INTERIM DIR., U.S. PATENT & TRADEMARK OFFICE V. TAM",USCA-Fed. Granted: 9/29/16,9/29/16,1/18/17,6/19/17,AFFIRMED (NMG – no part)  15-1358)  15-1359)  15-1363)  CFX  CFX  CFX  ZIGLAR V. ABBASI  ASHCROFT V. ABBASI  HASTY V. ABBASI  Court: USCA-2 Granted: 10/11/16 (SS & EK – no part)     Argument Date: 1/18/17   Decided: 6/19/17,Oct-16,,,,
15-5991,CFY,SHAW V. UNITED STATES,USCA-9,4/25/16,10/4/16,12/12/16,VACATED AND REMANDED     Granted: 4/25/16    Decided: 12/12/16  15-7250 CFY MANRIQUE V. UNITED STATES     Court: USCA-11     Argument Date: 10/11/16,Oct-16,,,,
16-54,CFX,"ESQUIVEL-QUINTANA V. SESSIONS, ATT’Y GEN.",USCA-6,10/28/16,2/27/17,5/30/17,REVERSED (NMG – no part)  16-74 ) 1*  16-86 ) 2*  16-258)3*  CFX  CFX  CFX  ADVOCATE HEALTH CARE NETWORK V. STAPLETON  SAINT PETER’S HEALTHCARE SYSTEM V. KAPLAN  DIGNITY HEALTH V. ROLLINS  Court:  1USCA-7; 2USCA-3; 3USCA-9 Granted: 12/2/16     Argument Date: 3/27/17   Decided: 6/5/17,Oct-16,,,,
16-309,CFY,MASLENJAK V. UNITED STATES,USCA-6 Granted: 1/13/17,1/13/17,4/26/17,6/22/17,VACATED AND REMANDED  16-327 CFH LEE V. UNITED STATES  Court: USCA-6 Granted: 12/14/16     Argument Date: 3/28/17   Decided: 6/23/17,Oct-16,,,,
16-373,CFX,CALIFORNIA PUBLIC EMPLOYEES’ RETIREMENT SYS. V. ANZ SECURITIES,USCA-2,1/13/17,4/17/17,6/26/17,AFFIRMED  16-399 CFX PERRY V. MERIT SYSTEMS PROTECTION BD.     Court: USCA-DC    Granted: 1/13/17     Argument Date: 4/17/17   Decided: 6/23/17,Oct-16,,,,
16-5294,CFH,"McWILLIAMS V. DUNN, COMM’R, ALABAMA DOC",USCA-11,1/13/17,4/24/17,6/19/17,"REVERSED AND REMANDED  16-6219 CFH DAVILA V. DAVIS, DIR., TX DOCJ    Court: USCA-5     Argument Date: 4/24/17",Oct-16,,,,
15-1498,CFX,"SESSIONS, ATT’Y GEN. V. DIMAYA",USCA-9,9/29/16,1/17/17,,VACATED AND REMANDED  No. of Cases (No. of Arguments) made available: 76 (67)   No. of Cases (No. of Arguments) Argued:  71 (64)   No. of Cases (No. of Arguments) Disposed of*: 74 (65);  *Note: 2 Cases (2 Arguments) restored to the calendar for reargument in October Term 2017.   DISPOSED OF WITH ARGUMENT:  By Signed Opinion/Judgment – 68 (61) By Per Curiam Opinion – 1 (1) Dismissed/Other –  DISPOSED OF WITHOUT ARGUMENT:  By Signed Opinion/Judgment -   By Per Curiam Opinion – Dismissed/Other – 5 (3)  No. of Opinions:  62 (Signed – 61; Per Curiam Opinion –1)  CASE CODE KEY   First Letter = Jurisdictional  Grounds  (ex. 13-100 CSX)  C - Certiorari  A - Appeal  Q - Certified Question   Second Letter =  Court Below (ex. 13-100  CSX)  S - State  F - U.S. Court of Appeals  T - Three-Judge District Court  M - U.S. Court of Appeals for the Armed Forces  O - Other Court   Third Letter  = Nature of Case  (ex. 13-100  CSX )  X - Civil  Y  - Criminal  H - Habeas Corpus or other collateral attack  NOTE:   *Unanimous Court/ **Unanimous Court in Part/ #Unanimous in Judgment,Oct-16,,,,
"142, Orig.",,FLORIDA V. GEORGIA,USCA-9 Granted: 6/20/16,6/20/16,1/8/18,3/5/18,"United States’s exception sustained; all other exceptions overruled;  and case remanded  142, Orig. FLORIDA V. GEORGIA  Order: 10/10/17 – Set for oral argument in due course    Argument Date: 1/8/18   Decided: 6/27/18",Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-9,9/29/16,1/17/17,4/17/18,AFFIRMED  15-1509* CFX U.S. BANK NATIONAL ASSN. V. VILLAGE AT LAKERIDGE     Court: USCA-9    Granted: 3/27/17     Argument Date: 10/31/17   Decided: 3/5/18,Oct-17,,,,
2017,CASES,FOR ARGUMENT,USCA-DC,2/21/17,10/4/17,2/21/18,"REVERSED AND REMANDED  16-460 CSX ARTIS V. DISTRICT OF COLUMBIA  Court: DC, Crt of App. Granted: 2/27/17     Argument Date: 11/1/17   Decided: 1/22/18",Oct-17,,,,
