cited_cluster_id,citing_cluster_id,citing_court_id
84681,3166988,cal
84681,9569204,cacd
84681,7074304,ca2
84681,8972237,ca2
84681,5078166,tex
84681,5070522,tex
84681,6972896,ca5
84681,4440233,ind
84681,8919223,ca5
84681,224656,ca5
84681,252353,ca5
84681,259193,ca5
84681,259193,ca5
84681,463194,ca5
84681,4613994,kan
84681,1399904,tex
84681,22982,ca5
84681,23577,ca5
84681,337750,ca5
84681,337750,ca5
84681,9599647,cand
84681,9599654,cand
84681,9599665,cand
84681,9599671,cand
84681,9975516,txed
84681,9598973,cand
84681,9598975,cand
84681,9598948,cand
84681,9598949,cand
84681,9598951,cand
84681,9598952,cand
84681,9598957,cand
84681,10206102,txsd
84681,9983203,txnd
84681,37722,ca5
84681,195507,ca1
84681,194697,ca1
84681,364747,ca1
84681,483594,ca1
84681,605529,ca1
84681,2961925,ca1
84681,8865469,ca1
84681,6693483,conn
84681,674595,ca1
84681,10590198,ca6
84681,10342963,mesuperct
84681,9632921,ctd
84681,9630867,ctd
84681,10355618,mied
84681,10319354,gasd
84681,10362358,nced
84681,9819345,nvd
84681,9819655,nvd
84681,10171580,caed
84681,10302446,casd
84681,10172692,cand
84681,10172694,cand
84681,10172695,cand
84681,10594568,cand
84681,10594570,cand
84681,10594574,cand
84681,10594624,cand
84681,9698309,innd
84681,10244422,wawd
84681,10595079,cand
84681,9607761,cand
84681,9607762,cand
84681,9607763,cand
84681,9696869,innd
84681,10233316,wawd
84681,9834427,nvd
84681,9962810,scd
84681,10231661,waed
84681,10226879,vawd
84681,9619956,casd
84681,9532426,azd
84681,9565976,caed
84681,9578899,caed
84681,9599698,cand
84681,9596828,cand
84681,9600926,cand
84681,9600927,cand
84681,9616161,casd
84681,9602625,cand
84681,9602596,cand
84681,9602676,cand
84681,9602134,cand
84681,9602607,cand
84681,9602612,cand
84681,9616846,casd
84681,5015110,fladistctapp
84681,9626023,cod
84681,5015659,lactapp
84681,9680203,ilnd
84681,5445447,ky
84681,9695368,innd
84681,9738544,mdd
84681,9788795,ncwd
84681,9823983,nvd
84681,9828656,nvd
84681,7314262,msnd
84681,9913421,ohsd
84681,9913286,ohsd
84681,9909863,ohsd
84681,9910131,ohsd
84681,9913908,ohsd
84681,9910427,ohsd
84681,9913184,ohsd
84681,2679483,mo
84681,2799551,ca6
84681,4313963,cadc
84681,5005624,ala
84681,5053573,ala
84681,5145980,pa
84681,7343954,scotus
84681,7343954,scotus
84681,7343955,scotus
84681,7326027,msnd
84681,8006808,michctapp
84681,8441029,ca7
84681,8720134,msnd
84681,8722631,flmd
84681,215071,scotus
84681,215071,scotus
84681,215077,scotus
84681,2981806,ca6
84681,6765672,uscfc
84681,7088939,ca4
84681,8437398,ca6
84681,780858,ca6
84681,145688,scotus
84681,145688,scotus
84681,118511,scotus
84681,118511,scotus
84681,852644,ind
84681,2349588,moctapp
84681,2638722,colo
84681,2672650,ca11
84681,7102648,ca6
84681,7078734,ca4
84681,7355454,nmid
84681,7355407,nmid
84681,7355440,nmid
84681,8000183,mich
84681,8513152,amsamoa
84681,8516447,njb
84681,8588620,prsupreme
84681,8520048,vaeb
84681,8711881,prd
84681,8728948,gasd
84681,8896527,ohnd
84681,8898495,njd
84681,8922200,ca3
84681,8943839,ca3
84681,8971143,ca4
84681,110753,scotus
84681,111094,scotus
84681,111503,scotus
84681,111540,scotus
84681,112419,scotus
84681,112641,scotus
84681,111949,scotus
84681,111949,scotus
84681,118318,scotus
84681,118318,scotus
84681,117880,scotus
84681,727242,ca6
84681,689916,cafc
84681,1250599,mich
84681,1539082,pa
84681,2972923,ca6
84681,5097287,fla
84681,5740863,ga
84798,4107179,ri
84798,4183445,texapp
84798,3037588,ca8
84798,790765,ca8
84798,1171625,calctapp
84798,8800659,ca9
84798,93904,scotus
84798,5629644,nysupct
84798,5615959,nysupct
84798,5667422,nysupct
84798,5668219,nysupct
84798,5801115,calctapp
84798,9559864,caed
84798,8775352,ca5
84798,9560577,caed
84798,10192066,nvd
84798,10191947,nvd
84798,9591913,caed
84798,9583624,caed
84798,9833418,nvd
84798,9831972,nvd
84992,222688,ca7
84992,6543300,mass
84992,4104457,ri
84992,4534544,ca3
84992,3459057,kyctapphigh
84992,4535405,ca3
84992,4792124,ca6
84992,90499,scotus
84992,88610,scotus
84992,91123,scotus
84992,92063,scotus
84992,92277,scotus
84992,85786,scotus
84992,101022,scotus
84992,218770,ca3
84992,145875,scotus
84992,145875,scotus
84992,103761,scotus
84992,5668648,nysupct
84992,6272295,nyctcompl
84992,8164151,circtndny
84992,5108008,me
84992,10201031,pamd
84992,9946061,pamd
84992,9751622,mied
84992,7309471,njd
84992,9802242,njd
84992,9801179,njd
84992,9806174,njd
84992,9839318,nyed
84992,9941803,pamd
84992,9945670,pamd
84992,222688,ca7
84992,811455,ca7
85272,757550,cafc
85272,757586,ca6
85272,2194524,pa
85272,760213,ca7
85272,1461388,ksd
85272,1996082,indtc
85272,757545,cafc
85272,452161,ca9
85272,1987879,mdd
85272,1973283,cod
85272,2124348,dcd
85272,790921,ca2
85272,1479162,ri
85272,3018246,ca8
85272,2095346,njsuperctappdiv
85272,1442427,vaed
85272,2191352,conn
85272,3332402,connsuperct
85272,1447953,arizctapp
85272,1427676,caed
85272,185288,cadc
85272,2130027,waed
85272,789043,ca2
85272,2131712,flsd
85272,1996976,illappct
85272,2184309,indtc
85272,1209374,wva
85272,1161580,cal
85272,779710,ca9
85272,1482384,nj
85272,1214102,or
85272,779698,ca9
85272,4761409,mo
85272,1523043,casd
85272,2099716,pasuperct
85272,2098999,njd
85272,1440618,texapp
85272,1626232,nd
85272,1988627,pa
85272,480257,ca9
