cited_cluster_id,citing_cluster_id,citing_court_id
85272,9954582,scotus
85272,9502726,scotus
85272,9971894,scotus
85272,9986254,scotus
85272,9986257,scotus
85272,9508920,scotus
85272,10049671,scotus
85272,10049679,scotus
85272,10049675,scotus
85272,10049660,scotus
85272,10049655,scotus
85272,118011,scotus
85272,118317,scotus
85272,103172,scotus
85272,103172,scotus
85272,103214,scotus
85272,118317,scotus
85272,109499,scotus
85272,101913,scotus
85272,103172,scotus
85272,111308,scotus
85272,111555,scotus
85272,111308,scotus
85272,111308,scotus
85272,103214,scotus
85272,103442,scotus
85272,112040,scotus
85272,107748,scotus
85272,103639,scotus
85272,105525,scotus
85272,109881,scotus
85272,107748,scotus
85272,109499,scotus
85272,109881,scotus
85272,105525,scotus
85272,105525,scotus
85272,105525,scotus
85272,111555,scotus
85272,112040,scotus
85272,112040,scotus
85272,118011,scotus
85272,4766664,scotus
85272,4766664,scotus
85272,4766665,scotus
85272,4766665,scotus
85272,4630267,scotus
85272,4630267,scotus
85272,2788982,scotus
85272,2808294,scotus
85272,2803249,scotus
85272,3214883,scotus
85272,3189871,scotus
85272,3211608,scotus
85272,145902,scotus
85272,149702,scotus
85272,145849,scotus
85272,809122,scotus
85272,809122,scotus
85272,809122,scotus
85272,9054281,scotus
85272,9068915,scotus
85272,931614,scotus
85272,931614,scotus
85272,945737,scotus
85272,931122,scotus
85272,931122,scotus
85272,146552,scotus
85272,146552,scotus
85272,146552,scotus
85272,146552,scotus
85272,145747,scotus
85272,127912,scotus
85272,799990,scotus
85272,118407,scotus
85272,799993,scotus
85272,799993,scotus
85272,799995,scotus
85272,799995,scotus
85272,799995,scotus
85272,118458,scotus
85272,130139,scotus
85272,134743,scotus
85272,134745,scotus
85272,134745,scotus
85272,2621075,scotus
85272,2811848,scotus
85272,9044058,scotus
85272,110295,scotus
85272,110248,scotus
85272,110718,scotus
85272,111104,scotus
85272,110985,scotus
85272,110985,scotus
85272,110894,scotus
85272,111503,scotus
85272,111504,scotus
85272,111541,scotus
85272,111710,scotus
85272,111146,scotus
85272,111262,scotus
85272,112249,scotus
85272,112075,scotus
85272,110692,scotus
85272,111939,scotus
85272,112429,scotus
85272,112429,scotus
85272,112429,scotus
85272,110488,scotus
85272,112768,scotus
85272,112329,scotus
85272,112227,scotus
85272,112227,scotus
85272,112279,scotus
85272,112674,scotus
85272,118214,scotus
85272,118318,scotus
85272,118318,scotus
85272,111016,scotus
85272,111016,scotus
85272,112644,scotus
85272,112646,scotus
85272,117856,scotus
85272,112777,scotus
85272,118115,scotus
85272,118183,scotus
85272,112890,scotus
85272,118140,scotus
85272,117895,scotus
85272,118148,scotus
85272,118148,scotus
85330,2645422,scotus
85330,626209,scotus
85330,813020,scotus
85330,4729479,scotus
85330,4867542,scotus
85330,4877180,scotus
85330,214949,scotus
85330,4894055,scotus
85330,4898459,scotus
85330,4894912,scotus
85330,111492,scotus
85330,111503,scotus
85330,102872,scotus
85330,104697,scotus
85330,102901,scotus
85330,101991,scotus
85330,105371,scotus
